"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","monk2",84,"3",0,3600,107,14.999999994,0.821428571428571,0.999999999993333,9602316,3600,0,0,0,0,0.581395348837209,0.523809523809524,"3",FALSE
"BinOCT","monk2",84,"3",0,3600,107,15.999999993,0.80952380952381,0.99999999999375,8576299,3600,0,0,0,0,0.720930232558139,0.642857142857143,"4",FALSE
"BinOCT","monk2",84,"3",0,3600,107,16.999999996,0.797619047619048,0.999999999994118,10013601,3600,0,0,0,0,0.604651162790698,0.666666666666667,"5",FALSE
"BinOCT","monk2",84,"4",0,3600,107,13.999999994,0.833333333333333,0.999999999992857,6017713,3600,0,0,0,0,0.558139534883721,0.666666666666667,"1",FALSE
"BinOCT","monk2",84,"4",0,3600,107,8.999999994,0.892857142857143,0.999999999988889,4156318,3600,0,0,0,0,0.674418604651163,0.452380952380952,"2",FALSE
"BinOCT","monk2",84,"4",0,3600,107,7.999999995,0.904761904761905,0.9999999999875,5797840,3600,0,0,0,0,0.581395348837209,0.595238095238095,"3",FALSE
"BinOCT","monk2",84,"4",0,3600,107,9.999999995,0.880952380952381,0.99999999999,5550220,3600,0,0,0,0,0.604651162790698,0.571428571428571,"4",FALSE
"BinOCT","monk2",84,"4",0,3600,107,10.999999995,0.869047619047619,0.999999999990909,5770220,3600,0,0,0,0,0.651162790697674,0.547619047619048,"5",FALSE
"BinOCT","monk2",84,"5",0,3600,107,4.999999997,0.94047619047619,0.99999999998,4547915,3600,0,0,0,0,0.558139534883721,0.69047619047619,"1",FALSE
"BinOCT","monk2",84,"5",0,3600,107,6.99999999500001,0.916666666666667,0.999999999985714,4022786,3600,0,0,0,0,0.395348837209302,0.571428571428571,"2",FALSE
"BinOCT","monk2",84,"5",0,3600,107,4.999999995,0.94047619047619,0.99999999998,2948069,3600,0,0,0,0,0.604651162790698,0.523809523809524,"3",FALSE
